kind,code,label,description,sort_order
difficulty,easy,легко,Подходит для базовых рецептов с минимальной сложностью,1
difficulty,medium,средне,Требует базовых навыков и некоторого контроля процесса,2
difficulty,hard,сложно,Требует уверенных навыков и более точного соблюдения шагов,3
cooking_method,no_cook,без приготовления,Без термической обработки и активного приготовления,1
cooking_method,boil,варка,Приготовление в воде или другой жидкости при нагреве,2
cooking_method,steam,на пару,Приготовление паром без прямого контакта с водой,3
cooking_method,stew,тушение,Медленное приготовление в небольшом количестве жидкости,4
cooking_method,fry,жарка,Приготовление на сковороде или поверхности с жиром,5
cooking_method,deep_fry,фритюр,Приготовление в большом количестве горячего масла,6
cooking_method,bake,запекание,Приготовление в духовке или печи сухим жаром,7
cooking_method,roast,обжаривание,Интенсивное приготовление с подрумяниванием поверхности,8
cooking_method,grill,гриль,Приготовление на решётке или контактной поверхности,9
cooking_method,smoke,копчение,Приготовление или обработка дымом,10
cooking_method,ferment,ферментация,Изменение продукта за счёт контролируемой ферментации,11
cooking_method,pickle,маринование,Выдержка продукта в маринаде для вкуса и структуры,12
cooking_method,blanch,бланширование,Краткая обработка кипятком или паром,13
cooking_method,slow_cook,медленное приготовление,Длительное приготовление при умеренной температуре,14
meal_type,breakfast,завтрак,Подходит для утреннего приёма пищи,1
meal_type,lunch,обед,Подходит для основного дневного приёма пищи,2
meal_type,dinner,ужин,Подходит для вечернего приёма пищи,3
meal_type,snack,перекус,Подходит для небольшого самостоятельного приёма пищи,4
meal_type,dessert,десерт,Подходит для сладкой подачи после основного блюда,5
meal_type,drink,напиток,Подходит для жидкой подачи и употребления как напитка,6
meal_type,sauce,соус,Используется как соус или дополнительный компонент блюда,7
meal_type,side,гарнир,Подходит как сопровождение к основному блюду,8
meal_type,starter,закуска,Подходит для начальной подачи перед основным блюдом,9
temperature,cold,холодное,Подаётся преимущественно в охлаждённом или комнатном виде,1
temperature,warm,тёплое,Подаётся тёплым без высокой температуры,2
temperature,hot,горячее,Подаётся горячим сразу после приготовления,3
time_quick,under_15,до 15 минут,Готовится очень быстро и почти без длительных этапов,1
time_quick,under_30,до 30 минут,Готовится в пределах получаса,2
time_quick,under_60,до 1 часа,Требует умеренного времени приготовления,3
time_quick,over_60,более 1 часа,Требует длительного приготовления или ожидания,4
cost,low,бюджетно,Подходит для приготовления из относительно доступных продуктов,1
cost,medium,средний,Требует умеренных затрат на ингредиенты,2
cost,high,дорого,Ориентировано на более дорогие или редкие ингредиенты,3
nutrition,high_protein,много белка,Содержит заметную долю белка среди основных нутриентов,1
nutrition,high_fiber,много клетчатки,Содержит повышенное количество пищевых волокон,2
nutrition,high_fat,много жиров,Содержит заметную долю жиров в составе,3
nutrition,low_carb,мало углеводов,Содержит относительно мало углеводов,4
nutrition,energy_dense,калорийное,Имеет высокую энергетическую плотность на порцию,5
texture,liquid,жидкое,Имеет жидкую или почти жидкую консистенцию,1
texture,creamy,кремовое,Имеет мягкую однородную кремовую текстуру,2
texture,soft,мягкое,Имеет мягкую структуру без выраженной хрусткости,3
texture,crispy,хрустящее,Имеет сухую и хрустящую текстуру,4
texture,juicy,сочное,Сохраняет влагу и сочность в готовом виде,5
texture,dense,плотное,Имеет плотную насыщенную структуру,6
taste,sweet,сладкое,Имеет выраженный сладкий вкусовой профиль,1
taste,salty,солёное,Имеет заметный солёный вкус,2
taste,sour,кислое,Имеет выраженную кислотность,3
taste,bitter,горькое,Имеет заметную горечь во вкусе,4
taste,umami,умами,Имеет насыщенный глубокий savoury профиль,5
taste,spicy,острое,Имеет жгучий или острый вкус,6
taste,neutral,нейтральное,Имеет мягкий и неярко выраженный вкус,7
season,all_year,круглый год,Подходит для использования без выраженной сезонности,1
season,spring,весна,Наиболее уместно или доступно весной,2
season,summer,лето,Наиболее уместно или доступно летом,3
season,autumn,осень,Наиболее уместно или доступно осенью,4
season,winter,зима,Наиболее уместно или доступно зимой,5
origin,local,локальное,Обычно ассоциируется с местными и близкими продуктами,1
origin,regional,региональное,Относится к определённой локальной кулинарной традиции,2
origin,international,международное,Широко встречается в разных странах и кухнях,3
cuisine,slavic,славянская,Относится к славянским кулинарным традициям,1
cuisine,mediterranean,средиземноморская,Относится к кухням средиземноморского региона,2
cuisine,asian,азиатская,Относится к азиатским кулинарным традициям,3
cuisine,middle_eastern,ближневосточная,Относится к кухням Ближнего Востока,4
cuisine,latin_american,латиноамериканская,Относится к кухням стран Латинской Америки,5
cuisine,western,западная,Относится к распространённым западным кулинарным подходам,6
diet,vegetarian,вегетарианское,Не содержит мяса и рыбы в базовой версии,1
diet,vegan,веганское,Не содержит продуктов животного происхождения в базовой версии,2
diet,gluten_free,без глютена,Не предполагает ингредиенты с глютеном в базовой версии,3
diet,lactose_free,без лактозы,Не предполагает молочные продукты с лактозой в базовой версии,4
diet,fasting,постное,Подходит под постный рацион без животных ингредиентов,5
diet,keto,кето,Ориентировано на низкое содержание углеводов и более высокое содержание жиров,6
diet,halal,халяль,Может соответствовать требованиям халяль при корректном подборе ингредиентов,7
diet,child_friendly,для детей,Подходит для более мягкого и понятного детского рациона,8
allergen,nuts,с орехами,Содержит орехи или может включать ореховые ингредиенты,1
allergen,dairy,с молочными продуктами,Содержит молочные ингредиенты,2
allergen,eggs,с яйцами,Содержит яйца или яичные продукты,3
allergen,fish,с рыбой,Содержит рыбу как основной или дополнительный ингредиент,4
allergen,seafood,с морепродуктами,Содержит морепродукты,5
allergen,soy,с соей,Содержит соевые продукты или их производные,6
allergen,wheat,с пшеницей,Содержит пшеницу или продукты на её основе,7
allergen,sesame,с кунжутом,Содержит кунжут или продукты на его основе,8
equipment,knife,нож,Требует активной ручной подготовки ножом,1
equipment,pan,сковорода,Требует приготовления на сковороде,2
equipment,pot,кастрюля,Требует приготовления в кастрюле или сотейнике,3
equipment,oven,духовка,Требует духовки или печи,4
equipment,grill,гриль,Требует гриля или аналогичной поверхности,5
equipment,blender,блендер,Требует измельчения или смешивания блендером,6
equipment,mixer,миксер,Требует взбивания или смешивания миксером,7
equipment,steamer,пароварка,Требует пароварки или режима пара,8
equipment,slow_cooker,мультиварка,Требует мультиварки или медленного приготовления,9
equipment,food_processor,комбайн,Требует кухонного комбайна для подготовки,10
prep,one_pot,в одной посуде,Основной процесс проходит в одной посуде,1
prep,batch_friendly,подходит для заготовки,Удобно готовить сразу на несколько порций,2
prep,freezer_friendly,подходит для заморозки,Готовое блюдо или заготовка хорошо переносит заморозку,3
prep,meal_prep,для meal prep,Удобно готовить заранее на несколько приёмов пищи,4
prep,party_friendly,для компании,Подходит для подачи на несколько человек или общую сервировку,5
prep,everyday,на каждый день,Подходит для регулярного повседневного приготовления,6
prep,holiday,праздничное,Подходит для особой или праздничной подачи,7
ingredient_state,fresh,свежие ингредиенты,Ориентировано на использование свежих продуктов,1
ingredient_state,frozen,замороженные ингредиенты,Допускает или предполагает замороженные продукты,2
ingredient_state,dried,сушёные ингредиенты,Предполагает сушёные продукты как важную часть состава,3
ingredient_state,canned,консервированные ингредиенты,Предполагает использование консервированных продуктов,4
ingredient_state,fermented,ферментированные ингредиенты,Предполагает использование ферментированных компонентов,5
portion,one,1 порция,Подходит для приготовления на одного человека,1
portion,two,2 порции,Подходит для небольшой пары порций,2
portion,family,семейное,Подходит для нескольких человек или семьи,3
portion,large_batch,большая партия,Подходит для приготовления в большом объёме,4